inner_id,username,profile,follower_cnt,following_cnt
33232429881,yoojeongkim20,"🌈대학생 공스타그램
🌈Kinesiology, ATC 준비⚕
🌺공스타 맞팔 좋아요
🌺소개계정은 안 받을게요🙏😅",29,32
25974427007,nanoon_gyeongjooma,"전성현 성실해진다.
나는 앞만 보고 달려가는 경주마🐴",60,61
35226242357,minjoo_study06,"이제부터라도 공부습관을 들이기위해 만든 계정
🖊맞팔-댓 남기고 선팔 
🖊언팔-맞언팔&차단 
(2주동안 게시물없으면 언팔하겠습니다)
🖊주말은 피드 ❌
      -평일엔 5일 모두 하도록 노력하겠습니다
🖊아직 공부초짜라 미숙합니다ㅜㅜ
🖋시험기간 동안은 업로드 없습니다",4,2
34321639199,min_sunny_study,"🤚자기관리 기록, 흐트러짐 방지
•#20학번#영문과#공스타#career#스펙쌓기#운동#예승이
•#게으른열정쟁이
•Better late than never
.
.
.
•#목표
: 교환학생 다녀오기, 교직이수, 광고홍보학과 복수전공, 승무원",80,51
17799608390,special_t2cher,𝐊𝐍𝐔 𝐒𝐏𝐄𝐂𝐈𝐀𝐋 𝐄𝐃𝐔𝐂𝐀𝐓𝐈𝐎𝐍 𝟏𝟖,144,88
24158034043,chae_llenge_,"🄴🅆🄷🄰.🅆.🅄🄽🄸🅅
♥️ 챔니의 연구 과정 업로드 인스타 ♥️
 ➋⓿➋⓿.⓿➎.➋➍ -
#이화여대 #대학생 #공스타그램",70,96
756673243,jamong._.jamong,"▷ 17학번 공스타그램
▷ 자연과학대학 화학전공
▷ 6학기 이수, 현재 휴학
▷ 공스타그램만 소통⭕ 다른 계정과 소통❌
▷ 소개에 공스타그램없고 비공계 계정이면 맞팔 안해요❗",118,85
26769990873,hi___everyone_,"PA-S2 🇰🇷🇺🇸
공스타그램
9/9 개강",64,59
4152944229,hio__0o0,"맥모닝 불여일견
꿔바로우 보릿자루",698,240
1657191933,pharmacist_yul_,"🌸EWHA UNI 화생분20학번🌸
🅆🄷🄴🅁🄴 🄲🄷🄰🄽🄶🄴 🄱🄴🄶🄸🄽🅂
📖12회 PEET 준비생
(2020.07~2021.08.15)
📖김영진T/김준T/염창은T/조영상T
(🙏GOAL🙏) PEET 260/TOEIC 970",359,105
40010159250,judagon_,* 학기중에는 업로드가 느림,68,92
31612308249,dalkong_geo.t,"❤ 지리교육과 2학년
🧡 목표 : 교육학 18 + 전공지리 72 = 90
💛 2023 대구 지리 임용 합격 :)",37,40
